id,nombre_actual,nombre_comercial,categoria_nueva,subcategoria,precio_costo,precio_publico,stock,activo,url
2142,Camiseta Elite 5985 Verde Ingles,Camiseta Elite 5985 Verde Ingles,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-elite-5985-verde-ingles
707,Camiseta Fashion Azul Marino (CI-CVC-04),Camiseta Fashion Azul Marino (CI-CVC-04),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-fashion-azul-marino
708,Camiseta Fashion Blanca (CI-CVC-01),Camiseta Fashion Blanca (CI-CVC-01),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-fashion-blanco
709,Camiseta Fashion Gris Melange (CI-CVC-05),Camiseta Fashion Gris Melange (CI-CVC-05),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-fashion-gris-melange
710,Camiseta Fashion Negra (CI-CVC-02),Camiseta Fashion Negra (CI-CVC-02),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-fashion-negro
711,Camiseta Fashion Roja (CI-CVC-03),Camiseta Fashion Roja (CI-CVC-03),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-femenina/camiseta-fashion-rojo
712,Camiseta Futbol PRO2 Celeste/Negro,Camiseta Futbol PRO2 Celeste/Negro,REGALOS PERSONALIZADOS,Textil,229.0,572.5,1,True,https://disershop.com.uy/cibermayorista-en-disershop/monitores/camiseta-futbol-pro2-celeste-negro
713,Camiseta Futbol PRO2 Naranja/Negro,Camiseta Futbol PRO2 Naranja/Negro,REGALOS PERSONALIZADOS,Textil,229.0,572.5,1,True,https://disershop.com.uy/cibermayorista-en-disershop/monitores/camiseta-futbol-pro2-naranja-negro
714,Camiseta Futbol PRO2 Verde/Negro,Camiseta Futbol PRO2 Verde/Negro,REGALOS PERSONALIZADOS,Textil,229.0,572.5,1,True,https://disershop.com.uy/cibermayorista-en-disershop/monitores/camiseta-futbol-pro2-verde-negro
715,Camiseta Gris Melange (CI-05),Camiseta Gris Melange (CI-05),REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/vestimenta/hombre/camisetas/camiseta-gris-melange
717,Camiseta Joaquin Ancla Blanca (CE-115-01),Camiseta Joaquin Ancla Blanca (CE-115-01),REGALOS PERSONALIZADOS,Textil,299.0,747.5,1,True,https://disershop.com.uy/estampados/turismo/camisetas/camiseta-joaquin-ancla-blanca
718,Camiseta Joaquin Ancla Negra (CE-115-02),Camiseta Joaquin Ancla Negra (CE-115-02),REGALOS PERSONALIZADOS,Textil,299.0,747.5,1,True,https://disershop.com.uy/estampados/turismo/camisetas/camiseta-joaquin-ancla-negra
2143,Camiseta MAM negro,Camiseta MAM negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/estampados/turismo/camisetas/camiseta-mam-negro
2144,Camiseta Manga Larga Elite 5340 Negro,Camiseta Manga Larga Elite 5340 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-manga-larga-elite-5340-negro
2145,Camiseta Manga Larga Elite 5340 Rosado,Camiseta Manga Larga Elite 5340 Rosado,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-manga-larga-elite-5340-rosado
2146,Camiseta Manga Larga Elite 5340 Violeta,Camiseta Manga Larga Elite 5340 Violeta,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-manga-larga-elite-5340-violeta
2147,Camiseta Manga Larga Elite 5372 Blanco,Camiseta Manga Larga Elite 5372 Blanco,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-manga-larga-elite-5372-blanco
2148,Camiseta Manga Larga Elite 5372 Negro,Camiseta Manga Larga Elite 5372 Negro,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/elite-productos/elite-fit/camisetas-elite/camiseta-manga-larga-elite-5372-negro
719,Camiseta Mapa Nuevo Blanca (CE-123-01),Camiseta Mapa Nuevo Blanca (CE-123-01),REGALOS PERSONALIZADOS,Textil,299.0,747.5,0,True,https://disershop.com.uy/estampados/turismo/camisetas/camiseta-mapa-nuevo-blanca
720,Camiseta Mapa Nuevo Negra (CE-123-02),Camiseta Mapa Nuevo Negra (CE-123-02),REGALOS PERSONALIZADOS,Textil,299.0,747.5,1,True,https://disershop.com.uy/estampados/turismo/camisetas/camiseta-mapa-nuevo-negra
2150,Camiseta Monstas Corta,Camiseta Monstas Corta,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=20404
2151,Camiseta Monstas Manga Larga,Camiseta Monstas Manga Larga,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=20403
723,Camiseta Naranja (CI-10),Camiseta Naranja (CI-10),REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/vestimenta/hombre/camisetas/camiseta-naranja
724,Camiseta Negra (CI-02),Camiseta Negra (CI-02),REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/vestimenta/hombre/camisetas/camiseta-negra
